AUTHORISATION ID / PERMIT ID,PRIMARY INDUSTRY ACTIVITY DESCRIPTION,OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,EASTING,NORTHING,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD (kg),QUANTITY RELEASED (kg),REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB SECTOR,PNEC (??g/L),Latitude,Longitude,REGION
ASETS1046,,Anglian Water,Colchester(Haven) STW,,602250,223620,East Anglia,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,51.87446424,0.936681821,East of England
BW0231IH,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Water Hall (England) Ltd,Southfield Wood Landfill Lower Hatfield Road Hertford Hertfordshire,SG13 8LF,529800,209500,Hertfordshire and North London,Wastewater,Fluoranthene,0.1,0,Landfill,Non Hazardous Landfill,,51.76913671,-0.120304478,East of England
BW0231IH,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Water Hall (England) Ltd,Southfield Wood Landfill Lower Hatfield Road Hertford Hertfordshire,SG13 8LF,529800,209500,Hertfordshire and North London,Wastewater,Heptachlor,0.1,0,Landfill,Non Hazardous Landfill,,51.76913671,-0.120304478,East of England
BW0231IH,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Water Hall (England) Ltd,Southfield Wood Landfill Lower Hatfield Road Hertford Hertfordshire,SG13 8LF,529800,209500,Hertfordshire and North London,Wastewater,"Indeno(1,2,3-cd)pyrene",1,0,Landfill,Non Hazardous Landfill,,51.76913671,-0.120304478,East of England
BW0231IH,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Water Hall (England) Ltd,Southfield Wood Landfill Lower Hatfield Road Hertford Hertfordshire,SG13 8LF,529800,209500,Hertfordshire and North London,Wastewater,Benzo(a)pyrene,1,0,Landfill,Non Hazardous Landfill,,51.76913671,-0.120304478,East of England
BW0231IH,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Water Hall (England) Ltd,Southfield Wood Landfill Lower Hatfield Road Hertford Hertfordshire,SG13 8LF,529800,209500,Hertfordshire and North London,Wastewater,Cypermethrin,0.005,0,Landfill,Non Hazardous Landfill,1.30E-05,51.76913671,-0.120304478,East of England
AW4TF1789,,Anglian Water,Whitlingham(Norwich) STW,,627800,307700,East Anglia,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,52.61924889,1.363855621,East of England
AEETS12128,,Anglian Water,Cliff Quay(Ipswich) STW,,617200,241900,East Anglia,Controlled Waters,Fluoranthene,0.1,0,Water Industry,Water Industry,,52.03294922,1.16506007,East of England
AEETS12128,,Anglian Water,Cliff Quay(Ipswich) STW,,617200,241900,East Anglia,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,0,Water Industry,Water Industry,,52.03294922,1.16506007,East of England
AEETS12128,,Anglian Water,Cliff Quay(Ipswich) STW,,617200,241900,East Anglia,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,52.03294922,1.16506007,East of England
